wl,point_difference,date,team,three,fta,orb,ast,stl,blk,pts
W,3,2007/1/3,CLE,2,10,1,4,3,1,32
W,5,2007/1/6,CLE,1,0,0,4,3,3,19
L,5,2007/1/16,CLE,1,15,1,8,2,1,30
W,2,2007/1/20,CLE,2,5,0,5,4,0,32
L,3,2007/1/24,CLE,3,13,2,5,1,0,39
L,3,2007/2/1,CLE,2,8,1,9,1,0,17
L,1,2007/2/14,CLE,0,9,3,4,1,3,23
W,1,2007/2/21,CLE,0,5,0,2,1,1,29
L,5,2007/2/25,CLE,2,12,0,7,0,1,29
L,3,2007/3/1,CLE,1,8,0,5,0,0,39
W,4,2007/3/7,CLE,1,8,2,8,3,1,41
W,2,2007/3/10,CLE,4,4,0,9,3,1,32
L,4,2007/3/28,CLE,2,14,1,7,2,0,24
W,4,2007/3/31,CLE,0,13,1,9,3,0,39
L,4,2007/4/5,CLE,2,13,2,5,0,0,35
W,5,2007/4/6,CLE,0,14,0,5,1,1,25
L,5,2007/4/8,CLE,1,11,1,6,1,0,20
W,4,2007/11/2,CLE,3,22,3,7,3,1,45
W,4,2007/11/6,CLE,1,7,1,9,0,3,24
L,2,2007/11/7,CLE,1,15,2,13,3,2,32
W,2,2007/11/9,CLE,0,8,0,4,1,1,26
L,1,2007/11/14,CLE,2,9,4,14,0,2,39
W,5,2007/11/16,CLE,1,15,2,9,0,3,40
L,4,2007/11/20,CLE,1,12,0,7,1,1,34
W,3,2007/11/24,CLE,2,8,3,12,3,1,37
W,5,2007/11/25,CLE,1,15,3,10,4,1,30
W,5,2007/11/27,CLE,2,15,0,13,2,2,38
W,5,2007/12/17,CLE,0,13,1,5,1,0,31
W,4,2007/12/20,CLE,0,11,4,5,1,1,33
W,4,2008/1/2,CLE,1,11,1,6,2,1,36
W,4,2008/1/4,CLE,1,12,1,10,5,1,24
W,3,2008/1/6,CLE,4,12,3,8,0,0,39
W,2,2008/1/17,CLE,1,12,3,7,0,2,27
L,2,2008/1/25,CLE,0,10,2,5,2,0,36
W,3,2008/1/27,CLE,1,12,3,4,2,0,41
W,1,2008/1/30,CLE,3,12,2,4,2,2,37
W,1,2008/2/5,CLE,4,10,1,12,5,2,33
W,5,2008/2/8,CLE,0,4,4,7,2,1,26
W,1,2008/2/22,CLE,2,14,3,8,1,1,33
L,3,2008/2/26,CLE,1,5,0,6,0,1,35
L,5,2008/2/27,CLE,1,15,4,4,0,0,26
L,5,2008/3/12,CLE,2,23,3,7,1,2,42
L,2,2008/3/13,CLE,1,8,2,7,0,0,25
L,1,2008/3/26,CLE,1,10,0,8,2,2,21
W,3,2008/3/30,CLE,1,3,3,9,3,1,26
W,4,2008/4/2,CLE,1,6,2,5,3,2,29
L,3,2008/4/3,CLE,3,14,0,4,2,2,33
L,5,2008/4/11,CLE,2,12,0,2,3,0,34
W,1,2008/4/14,CLE,1,12,1,5,2,1,27
L,5,2008/10/28,CLE,0,8,1,6,2,1,22
W,4,2008/11/7,CLE,1,7,2,8,1,4,27
L,5,2008/12/13,CLE,2,12,2,9,4,1,33
W,4,2008/12/25,CLE,0,10,0,6,3,1,18
L,3,2009/1/4,CLE,3,8,0,10,1,2,30
W,1,2009/1/23,CLE,2,16,2,8,3,2,32
W,5,2009/1/24,CLE,1,6,4,9,1,0,33
W,5,2009/2/4,CLE,2,19,0,11,0,2,52
L,1,2009/2/10,CLE,4,14,0,4,1,1,47
W,1,2009/3/1,CLE,2,14,1,11,1,2,26
W,4,2009/3/10,CLE,0,16,4,11,2,2,32
W,3,2009/3/13,CLE,4,17,0,9,2,3,51
W,5,2009/3/15,CLE,0,3,1,10,4,3,19
W,4,2009/3/17,CLE,4,10,2,8,4,1,43
W,5,2009/3/19,CLE,0,11,0,10,1,2,26
L,1,2009/11/5,CLE,1,9,0,6,1,1,25
W,4,2009/11/14,CLE,0,12,0,9,2,1,21
L,2,2009/12/8,CLE,4,12,4,6,0,1,43
W,5,2009/12/11,CLE,1,6,1,7,1,2,33
W,3,2009/12/18,CLE,2,14,1,8,0,3,26
W,5,2009/12/30,CLE,4,16,3,6,2,2,48
L,3,2010/1/3,CLE,2,2,0,6,1,1,29
L,2,2010/1/8,CLE,2,13,2,7,1,0,35
W,3,2010/1/11,CLE,1,14,1,11,2,4,37
L,1,2010/1/14,CLE,4,12,1,6,5,1,36
W,1,2010/1/16,CLE,3,7,2,4,2,1,32
W,1,2010/1/23,CLE,6,19,0,12,1,1,37
W,1,2010/1/25,CLE,2,17,0,4,1,0,32
L,2,2010/2/18,CLE,1,17,1,15,2,4,43
W,5,2010/3/12,CLE,3,12,0,10,1,3,23
W,5,2010/3/17,CLE,2,10,1,9,3,2,32
L,5,2010/3/26,CLE,1,7,0,10,2,0,27
W,3,2010/3/31,CLE,0,13,1,7,1,1,23
W,5,2010/4/2,CLE,1,7,0,6,2,0,27
L,4,2010/4/4,CLE,0,22,1,9,1,1,42
L,3,2010/11/5,MIA,1,8,0,10,3,1,20
L,2,2010/11/9,MIA,0,11,2,14,1,3,20
L,5,2010/11/11,MIA,0,22,0,9,3,0,35
L,2,2010/11/20,MIA,2,6,0,11,1,0,29
W,1,2010/12/18,MIA,3,12,1,6,1,0,32
L,2,2010/12/20,MIA,2,7,3,7,0,0,19
L,4,2011/1/18,MIA,2,11,2,7,2,0,34
L,5,2011/1/27,MIA,0,12,2,5,2,2,24
W,1,2011/1/28,MIA,2,10,0,9,1,2,39
W,5,2011/1/30,MIA,2,11,0,13,4,3,23
W,4,2011/2/3,MIA,3,17,2,8,1,1,51
W,5,2011/2/8,MIA,2,13,3,8,3,1,41
L,3,2011/2/13,MIA,0,3,1,7,1,0,22
L,4,2011/2/24,MIA,0,6,0,5,2,1,29
L,5,2011/2/27,MIA,1,8,0,5,3,1,27
L,3,2011/3/3,MIA,0,7,2,4,0,2,29
L,1,2011/3/6,MIA,1,6,3,6,2,0,26
W,5,2011/3/19,MIA,1,2,0,2,2,0,33
L,5,2011/4/6,MIA,3,8,1,8,2,2,29
W,1,2011/12/28,MIA,0,9,0,7,3,2,35
W,2,2011/12/30,MIA,0,4,1,10,4,1,34
L,5,2012/1/10,MIA,0,8,1,7,2,0,26
W,3,2012/1/25,MIA,1,14,1,7,2,0,32
W,4,2012/1/29,MIA,1,15,1,5,0,1,35
L,1,2012/3/2,MIA,1,3,1,6,0,3,35
W,3,2012/3/7,MIA,0,10,4,2,1,2,31
W,2,2012/3/10,MIA,2,15,1,4,4,1,27
L,4,2012/3/14,MIA,2,5,1,4,4,0,35
W,4,2012/3/20,MIA,0,6,1,6,2,2,20
W,5,2012/4/4,MIA,3,13,1,10,4,1,34
W,3,2012/4/16,MIA,1,15,1,7,2,1,37
W,3,2012/11/3,MIA,0,4,1,11,0,2,20
W,3,2012/11/12,MIA,5,8,1,6,0,0,38
W,5,2012/11/15,MIA,0,6,1,12,1,3,27
W,2,2012/11/24,MIA,2,9,1,5,0,1,30
W,5,2012/11/29,MIA,2,6,3,7,4,0,23
L,4,2012/12/4,MIA,1,3,2,11,3,2,26
L,2,2012/12/12,MIA,2,5,1,5,1,0,31
W,2,2012/12/31,MIA,1,16,1,11,1,0,36
L,2,2013/1/10,MIA,1,5,0,9,2,1,15
L,2,2013/1/27,MIA,3,5,4,7,3,1,34
W,5,2013/2/4,MIA,0,6,0,8,2,0,31
W,4,2013/2/24,MIA,0,11,2,8,1,0,28
W,1,2013/3/6,MIA,1,12,0,2,0,1,26
W,4,2013/3/13,MIA,1,12,2,8,2,1,27
W,2,2013/3/18,MIA,1,6,1,12,2,2,37
W,3,2013/3/20,MIA,3,8,7,10,3,2,25
L,4,2013/3/27,MIA,2,11,0,3,2,4,32
L,4,2013/10/30,MIA,4,4,0,13,0,0,25
L,1,2013/11/1,MIA,1,5,1,6,2,1,26
W,5,2013/11/7,MIA,1,9,0,6,1,0,18
L,1,2013/11/9,MIA,0,9,1,10,0,0,25
W,2,2013/11/23,MIA,3,7,0,7,3,0,22
W,1,2013/12/1,MIA,1,10,0,4,1,1,26
W,3,2013/12/18,MIA,1,7,0,7,3,0,24
W,2,2013/12/23,MIA,4,6,4,6,2,0,38
L,5,2013/12/27,MIA,4,6,0,8,0,0,33
W,3,2013/12/30,MIA,5,8,1,10,0,1,26
W,5,2014/1/5,MIA,0,7,1,5,1,0,30
W,4,2014/2/5,MIA,3,8,1,12,3,1,31
L,5,2014/2/8,MIA,1,6,0,5,0,0,13
W,1,2014/2/12,MIA,4,7,1,9,2,0,36
L,3,2014/3/4,MIA,0,6,1,6,3,0,22
L,1,2014/3/12,MIA,1,9,0,7,3,0,19
L,4,2014/3/14,MIA,0,7,0,6,1,0,21
W,4,2014/3/18,MIA,6,13,0,4,2,3,43
W,5,2014/3/21,MIA,0,2,1,7,2,1,15
W,2,2014/3/24,MIA,0,9,4,5,4,0,32
L,1,2014/3/26,MIA,2,15,0,5,0,0,38
L,1,2014/4/4,MIA,2,10,2,5,4,1,34
L,1,2014/4/8,MIA,0,14,1,6,2,0,29
L,5,2014/4/9,MIA,3,7,1,5,2,0,37
L,5,2014/10/30,CLE,1,7,0,4,0,0,17
L,2,2014/11/5,CLE,3,12,0,4,3,0,31
W,1,2014/11/14,CLE,3,9,0,7,0,1,41
L,2,2014/11/19,CLE,2,1,3,9,1,1,15
W,3,2014/12/2,CLE,0,21,1,10,0,0,26
W,3,2014/12/4,CLE,1,7,1,12,2,0,19
W,4,2014/12/9,CLE,2,9,1,4,2,2,35
L,5,2014/12/12,CLE,2,8,0,5,0,1,41
W,4,2014/12/19,CLE,2,8,1,9,2,0,22
W,5,2015/1/16,CLE,3,12,0,7,3,0,32
L,4,2015/2/6,CLE,0,8,0,5,2,1,25
L,2,2015/3/1,CLE,4,11,2,4,3,3,37
W,3,2015/3/12,CLE,3,10,0,7,2,1,31
W,3,2015/3/20,CLE,2,2,0,5,0,0,29
W,1,2015/3/29,CLE,1,6,2,6,0,1,20
W,5,2015/4/5,CLE,1,6,2,12,3,1,20
W,5,2015/4/8,CLE,2,4,2,8,1,1,21
L,2,2015/10/27,CLE,1,3,0,5,1,0,25
W,4,2015/11/8,CLE,0,14,0,4,0,0,29
W,4,2015/11/10,CLE,1,12,3,8,2,0,31
L,3,2015/11/14,CLE,5,12,4,5,1,3,37
L,5,2015/11/17,CLE,4,5,0,3,0,0,30
L,4,2015/11/25,CLE,1,12,2,8,0,0,24
W,5,2015/11/27,CLE,2,9,2,5,0,0,25
W,2,2015/11/28,CLE,1,6,2,5,1,0,26
W,5,2015/12/8,CLE,1,4,1,3,2,3,33
W,4,2015/12/17,CLE,2,8,2,11,2,0,33
W,4,2015/12/28,CLE,1,9,0,7,2,1,14
W,3,2016/1/12,CLE,3,8,3,7,2,0,27
L,4,2016/1/14,CLE,1,4,2,5,0,0,22
W,5,2016/2/1,CLE,0,10,2,6,2,1,24
L,1,2016/2/5,CLE,0,17,3,4,2,1,30
L,2,2016/2/26,CLE,2,9,1,7,1,0,25
W,4,2016/2/29,CLE,2,5,0,4,2,0,33
L,3,2016/3/7,CLE,2,5,2,5,1,0,28
W,2,2016/4/1,CLE,1,5,3,9,3,1,29
L,3,2016/4/9,CLE,4,4,3,3,0,1,33
W,3,2016/10/28,CLE,2,7,2,7,0,0,21
W,1,2016/11/5,CLE,1,7,1,14,2,1,25
L,4,2016/11/8,CLE,2,5,2,5,3,0,23
W,4,2016/11/15,CLE,2,10,0,15,1,0,28
W,4,2016/11/27,CLE,1,9,2,13,1,0,26
W,4,2016/12/5,CLE,2,9,3,7,2,0,34
W,1,2016/12/25,CLE,4,7,5,4,2,1,31
W,4,2017/1/8,CLE,2,6,3,4,1,0,28
L,3,2017/1/21,CLE,2,7,0,7,2,0,29
L,2,2017/1/23,CLE,1,4,2,12,2,0,26
L,4,2017/1/25,CLE,0,11,4,11,2,1,24
W,5,2017/2/6,CLE,6,5,0,17,2,2,32
L,4,2017/3/1,CLE,3,8,5,10,1,1,28
W,5,2017/3/3,CLE,6,8,1,8,0,0,38
L,5,2017/3/9,CLE,0,8,4,10,1,0,29
L,5,2017/3/12,CLE,4,3,0,5,2,0,30
W,5,2017/3/19,CLE,3,8,0,7,1,0,34
W,5,2017/4/2,CLE,3,12,4,11,2,1,41
L,1,2017/4/9,CLE,1,10,3,10,1,0,32
W,3,2017/10/17,CLE,1,4,1,9,0,2,29
L,5,2017/10/25,CLE,1,8,1,13,0,4,29
L,2,2017/11/5,CLE,0,6,2,13,1,2,26
W,5,2017/11/7,CLE,2,10,1,9,3,0,30
L,4,2017/11/9,CLE,1,3,0,7,1,1,33
W,3,2017/11/13,CLE,2,10,3,12,0,3,23
W,5,2017/11/17,CLE,4,5,1,6,0,0,39
W,1,2017/11/24,CLE,3,7,1,13,0,3,27
W,5,2017/12/2,CLE,0,8,0,12,0,1,34
L,4,2017/12/8,CLE,1,5,2,8,1,2,29
L,3,2017/12/19,CLE,6,5,0,7,3,2,39
W,3,2017/12/21,CLE,2,8,1,9,3,0,34
L,3,2017/12/30,CLE,1,5,1,6,2,1,29
W,4,2018/1/6,CLE,4,7,3,9,6,1,33
L,2,2018/1/12,CLE,2,4,2,11,3,1,27
W,1,2018/1/18,CLE,0,8,1,6,1,0,16
W,2,2018/1/31,CLE,1,11,2,5,1,0,24
W,2,2018/2/7,CLE,5,2,1,15,1,1,37
W,5,2018/3/7,CLE,5,8,1,10,1,0,39
W,5,2018/3/17,CLE,2,4,1,12,1,2,33
W,3,2018/3/21,CLE,1,14,1,17,1,0,35
